RA,Genero,Fase,Defasagem,Pedra,IAN,IDA,IEG,IAA,IPS,IPV,INDE,IPP,AnoRef
128,Masculino,4,-1,Quartzo,5.0,5.6,6.2,0.0,7.5,6.167,5.563,7.34375,2022
129,Masculino,4,-1,Ágata,5.0,6.7,6.4,6.7,7.5,7.792,6.926,7.1145833332,2022
130,Feminino,4,-2,Quartzo,5.0,4.1,4.7,8.3,5.0,6.5,5.624,7.125,2022
131,Feminino,4,-1,Ametista,5.0,5.6,9.0,8.8,5.6,7.75,7.174,7.46875,2022
131,Feminino,4,-1,Ametista,5.0,5.6,9.0,8.8,5.6,7.75,7.174,7.65625,2022
131,Feminino,4,-1,Ametista,5.0,5.6,9.0,8.8,5.6,7.75,7.174,7.708333333,2022
132,Feminino,4,0,Topázio,10.0,7.7,8.8,10.0,5.6,8.458,8.355,8.3541666666,2022
132,Feminino,4,0,Topázio,10.0,7.7,8.8,10.0,5.6,8.458,8.355,7.65625,2022
132,Feminino,4,0,Topázio,10.0,7.7,8.8,10.0,5.6,8.458,8.355,8.59375,2022
133,Feminino,4,-1,Ágata,5.0,5.6,7.1,7.9,7.5,7.625,6.875,7.96875,2022
133,Feminino,4,-1,Ágata,5.0,5.6,7.1,7.9,7.5,7.625,6.875,7.1875,2022
134,Feminino,4,-1,Ágata,5.0,4.7,6.8,8.8,7.5,7.375,6.607,7.7395833334,2022
135,Feminino,4,-1,Ametista,5.0,8.6,7.8,8.3,5.6,8.583,7.692,7.84375,2022
136,Masculino,4,-1,Ágata,5.0,4.6,6.3,10.0,7.5,6.667,6.478,7.21875,2022
137,Feminino,4,-3,Ametista,2.5,7.3,8.9,7.5,5.0,7.792,7.056,7.34375,2022
137,Feminino,4,-3,Ametista,2.5,7.3,8.9,7.5,5.0,7.792,7.056,6.40625,2022
137,Feminino,4,-3,Ametista,2.5,7.3,8.9,7.5,5.0,7.792,7.056,4.791666667,2022
138,Masculino,4,-1,Ágata,5.0,5.6,8.0,9.6,5.6,6.375,6.738,6.9375,2022
138,Masculino,4,-1,Ágata,5.0,5.6,8.0,9.6,5.6,6.375,6.738,7.34375,2022
138,Masculino,4,-1,Ágata,5.0,5.6,8.0,9.6,5.6,6.375,6.738,7.708333333,2022
139,Masculino,4,-3,Quartzo,2.5,1.4,3.5,7.1,5.0,3.917,3.738,5.2875,2022
140,Feminino,4,0,Ametista,10.0,5.7,7.6,7.9,6.9,7.667,7.407,7.625,2022
141,Masculino,4,0,Ametista,10.0,5.7,8.2,9.2,5.6,5.917,7.118,7.65625,2022
141,Masculino,4,0,Ametista,10.0,5.7,8.2,9.2,5.6,5.917,7.118,7.03125,2022
142,Feminino,4,0,Ametista,10.0,6.3,8.6,6.7,5.6,7.583,7.457,7.6875,2022
143,Masculino,4,1,Topázio,10.0,7.9,9.9,8.3,5.6,9.5,8.638,8.75,2022
143,Masculino,4,1,Topázio,10.0,7.9,9.9,8.3,5.6,9.5,8.638,8.28125,2022
143,Masculino,4,1,Topázio,10.0,7.9,9.9,8.3,5.6,9.5,8.638,7.5,2022
144,Feminino,4,0,Topázio,10.0,7.9,9.3,7.5,5.0,8.292,8.181,8.2916666666,2022
144,Feminino,4,0,Topázio,10.0,7.9,9.3,7.5,5.0,8.292,8.181,6.25,2022
145,Masculino,4,-2,Quartzo,5.0,5.2,6.3,0.0,8.1,7.25,5.846,7.34375,2022
146,Feminino,4,-1,Ametista,5.0,7.9,9.2,8.3,7.5,8.208,7.947,7.4583333334,2022
146,Feminino,4,-1,Ametista,5.0,7.9,9.2,8.3,7.5,8.208,7.947,8.4375,2022
146,Feminino,4,-1,Ametista,5.0,7.9,9.2,8.3,7.5,8.208,7.947,7.65625,2022
147,Feminino,4,0,Ametista,10.0,6.1,7.7,8.3,7.5,7.25,7.541,7.625,2022
147,Feminino,4,0,Ametista,10.0,6.1,7.7,8.3,7.5,7.25,7.541,6.875,2022
147,Feminino,4,0,Ametista,10.0,6.1,7.7,8.3,7.5,7.25,7.541,7.5,2022
148,Masculino,4,0,Ametista,10.0,5.3,7.9,9.2,10.0,7.708,7.894,7.3333333332,2022
